wave,flux,error,f
3627,3169,139.06,7
3628,3167.3,139.06,7
3629,3165.5,139.06,7
3630,3169.6,139.32,7
3631,3167.9,139.32,7
3632,3166.1,139.32,7
3633,3158.6,139.06,7
3634,3156.8,139.06,7
3635,3146.4,138.68,7
3636,3138.9,138.42,7
3637,3128.5,138.04,7
3638,3126.8,138.04,7
3639,3119.3,137.78,7
3640,3117.6,137.78,7
3641,3115.9,137.78,7
3642,3108.4,137.53,7
3643,3106.7,137.53,7
3644,3105,137.53,7
3645,3103.3,137.53,7
3646,3101.6,137.53,7
3647,3099.9,137.53,7
3648,3092.5,137.28,7
3649,3090.8,137.28,7
3650,3086.3,137.15,7
3651,3078.9,136.9,7
3652,3068.7,136.52,7
3653,3055.8,136.02,7
3654,3048.5,135.77,7
3655,3038.4,135.39,7
3656,3031.2,135.15,7
3657,3023.9,134.9,7
3658,3022.3,134.9,7
3659,3012.3,134.52,7
3660,3005.1,134.28,7
3661,3003.5,134.28,7
3662,2996.3,134.03,7
3663,2994.6,134.03,7
3664,2993,134.03,7
3665,2991.4,134.03,7
3666,2989.7,134.03,7
3667,2988.1,134.03,7
3668,2986.5,134.03,7
3669,2984.9,134.03,7
3670,2983.2,134.03,7
3671,2987.1,134.28,7
3672,2985.5,134.28,7
3673,2989.4,134.52,7
3674,2993.2,134.77,7
3675,2994.4,134.9,7
3676,2998.3,135.15,7
3677,3002.2,135.39,7
3678,3006.1,135.64,7
3679,3007.2,135.77,7
3680,3005.6,135.77,7
3681,3009.5,136.02,7
3682,3002.3,135.77,7
3683,3000.7,135.77,7
3684,2990.8,135.39,7
3685,2989.1,135.39,7
3686,2982,135.15,7
3687,2974.9,134.9,7
3688,2965.1,134.52,7
3689,2949.9,133.91,7
3690,2937.4,133.41,7
3691,2922.3,132.8,7
3692,2912.7,132.43,7
3693,2905.8,132.19,7
3694,2898.9,131.95,7
3695,2892,131.7,7
3696,2882.4,131.34,7
3697,2880.8,131.34,7
3698,2874,131.1,7
3699,2867.2,130.86,7
3700,2870.9,131.1,7
3701,2869.3,131.1,7
3702,2878.4,131.58,7
3703,2884.8,131.95,7
3704,2888.5,132.19,7
3705,2892.3,132.43,7
3706,2885.4,132.19,7
3707,2873.3,131.7,7
3708,2869.1,131.58,7
3709,2862.2,131.34,7
3710,2855.4,131.1,7
3711,2848.7,130.86,7
3712,2844.5,130.74,7
3713,2843,130.74,7
3714,2841.4,130.74,7
3715,2839.9,130.74,7
3716,2838.4,130.74,7
3717,2836.8,130.74,7
3718,2835.3,130.74,7
3719,2833.8,130.74,7
3720,2832.3,130.74,7
3721,2825.5,130.5,7
3722,2824,130.5,7
3723,2822.5,130.5,7
3724,2815.8,130.26,7
3725,2814.3,130.26,7
3726,2818,130.5,7
3727,2821.6,130.74,7
3728,2827.9,131.1,7
