wave,flux,error,f
3674,5487.1,247.06,7
3675,5489.2,247.29,7
3676,5496.3,247.74,7
3677,5503.4,248.2,7
3678,5510.6,248.66,7
3679,5512.6,248.88,7
3680,5509.6,248.88,7
3681,5516.8,249.34,7
3682,5513.8,249.34,7
3683,5510.8,249.34,7
3684,5507.8,249.34,7
3685,5504.8,249.34,7
3686,5486.7,248.66,7
3687,5473.6,248.2,7
3688,5450.5,247.29,7
3689,5442.6,247.06,7
3690,5419.6,246.15,7
3691,5401.7,245.47,7
3692,5378.9,244.57,7
3693,5351.3,243.44,7
3694,5338.6,243,7
3695,5335.7,243,7
3696,5332.8,243,7
3697,5329.9,243,7
3698,5336.9,243.44,7
3699,5334,243.44,7
3700,5340.9,243.89,7
3701,5338,243.89,7
3702,5349.9,244.57,7
3703,5347,244.57,7
3704,5334.3,244.12,7
3705,5331.4,244.12,7
3706,5328.6,244.12,7
3707,5320.8,243.89,7
3708,5317.9,243.89,7
3709,5305.3,243.44,7
3710,5292.6,243,7
3711,5284.9,242.77,7
3712,5272.4,242.33,7
3713,5259.8,241.88,7
3714,5257,241.88,7
3715,5254.2,241.88,7
3716,5261,242.33,7
3717,5267.9,242.77,7
3718,5269.9,243,7
3719,5267.1,243,7
3720,5264.2,243,7
3721,5261.4,243,7
3722,5244.1,242.33,7
3723,5231.6,241.88,7
3724,5219.2,241.43,7
3725,5216.4,241.43,7
3726,5213.6,241.43,7
3727,5210.8,241.43,7
3728,5217.6,241.88,7
3729,5224.4,242.33,7
3730,5236,243,7
3731,5242.9,243.44,7
3732,5249.7,243.89,7
3733,5261.4,244.57,7
3734,5268.3,245.02,7
3735,5255.8,244.57,7
3736,5243.3,244.12,7
3737,5226.1,243.44,7
3738,5199.3,242.33,7
3739,5172.6,241.21,7
3740,5174.6,241.43,7
3741,5171.8,241.43,7
3742,5169.1,241.43,7
3743,5166.3,241.43,7
3744,5158.8,241.21,7
3745,5146.6,240.77,7
3746,5143.8,240.77,7
3747,5131.6,240.33,7
3748,5128.9,240.33,7
3749,5116.7,239.88,7
3750,5114,239.88,7
3751,5111.2,239.88,7
3752,5103.8,239.66,7
3753,5091.7,239.22,7
3754,5079.6,238.78,7
3755,5067.6,238.34,7
3756,5060.2,238.12,7
3757,5057.5,238.12,7
3758,5054.8,238.12,7
3759,5042.8,237.68,7
3760,5030.9,237.25,7
3761,5028.2,237.25,7
3762,5025.5,237.25,7
3763,5032.1,237.68,7
3764,5029.5,237.68,7
3765,5026.8,237.68,7
3766,5014.9,237.25,7
3767,5012.2,237.25,7
3768,5000.3,236.81,7
3769,4993.1,236.59,7
3770,4990.4,236.59,7
3771,4978.6,236.16,7
3772,4989.7,236.81,7
3773,4996.3,237.25,7
3774,5012.1,238.12,7
3775,5023.3,238.78,7
3776,5029.9,239.22,7
3777,5008.7,238.34,7
3778,4992.3,237.68,7
3779,4966.7,236.59,7
3780,4945.8,235.72,7
3781,4929.6,235.07,7
3782,4917.9,234.64,7
3783,4906.2,234.21,7
3784,4899.1,233.99,7
3785,4878.5,233.13,7
3786,4867,232.7,7
3787,4851,232.06,7
3788,4839.5,231.63,7
3789,4823.6,230.99,7
3790,4812.2,230.57,7
3791,4792,229.72,7
3792,4776.2,229.09,7
3793,4764.9,228.66,7
3794,4762.4,228.66,7
3795,4759.9,228.66,7
3796,4766.2,229.09,7
3797,4772.4,229.51,7
3798,4783.1,230.14,7
3799,4798.2,230.99,7
3800,4809,231.63,7
3801,4824.2,232.49,7
3802,4835,233.13,7
3803,4841.4,233.56,7
3804,4847.7,233.99,7
3805,4849.7,234.21,7
3806,4856,234.64,7
3807,4862.5,235.07,7
3808,4873.3,235.72,7
3809,4879.8,236.16,7
3810,4877.2,236.16,7
3811,4888.1,236.81,7
